,,,,,,,,,,
,,,,,,,,,,
Count of source_person_id,,weekday,,,,,,,,
call_end_date,source_person_id,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Grand Total,
10/19/2017 - 11/1/2017,89,2,,,,,,,2,
,276,,,,,1,1,,2,
,313,,,,,,2,,2,
,580,,,2,,,,,2,
,618,,2,,,,,,2,
,619,,,,1,2,,,3,
,667,4,,,,,,1,5,
,1182,,1,,,,1,,2,
,1226,,,1,1,,,,2,
,1442,,,,3,,,,3,
,1565,,2,,,,,,2,
,1713,,3,1,,1,,,5,
,1783,,,4,,,,,4,
,1845,2,,,,,,,2,
,2058,,,2,,,,,2,
,2124,,,,,,6,,6,
,2159,,5,8,5,1,2,,21,
,2162,,,,,,2,,2,
,2270,,,2,,,,,2,
,2623,,,,,,1,1,2,
,2658,2,,,,,,,2,
,2660,,,,,2,,,2,
,2708,,,1,,1,,,2,
,3032,,2,,,,,1,3,
,3182,,,3,,,,,3,
,3619,1,,,,,,1,2,
,3666,,,1,1,,,,2,
,3729,,,1,,,1,,2,
,3867,,,,,,2,,2,
,4026,1,,2,,,,,3,
,4542,,,,,2,,,2,
,4659,,,,,,,5,5,
,4678,,2,,,,,,2,
,4722,,,,,,4,,4,
,4794,,,,,,2,1,3,
,4905,,,,5,,,,5,
,4916,,3,,1,,,,4,
,5000,1,,,,4,1,,6,
,5145,1,,,,1,,1,3,
,5404,,,,2,,,,2,
,5715,6,,,,,,,6,
,5907,,,,,2,,,2,
,6442,,,1,,2,,,3,
,6527,,,2,1,,,,3,
,6596,1,1,2,,,,2,6,
,6642,1,,,,,,2,3,
,6659,,,5,3,,,,8,
,6778,,,1,,1,,,2,
,6812,,,2,,,,,2,
,7067,,2,,,,,,2,
,7097,,2,,,,,,2,
,7337,,1,,1,,,,2,
,7430,1,,,,1,1,,3,
,7704,,,,,,,2,2,
,7832,,1,,1,,,,2,
,7903,2,,,,,,,2,
,8029,2,1,,,3,4,2,12,
,8074,,,,,,2,,2,
,8138,,1,,,1,,,2,
,8168,1,1,,,,,,2,
,8761,,,2,1,,,,3,
,8895,1,1,,,,,1,3,
,9143,,,,,,,2,2,
,9207,,,,1,1,,,2,
,9287,1,,1,,,,,2,
,10139,,2,,,,,,2,
,10169,,,2,,,,,2,
,10470,1,,,,1,,,2,
,10487,1,1,1,,,,,3,
,10655,,2,,,,,,2,
,10689,,1,1,,,,,2,
,10901,1,,,,,,1,2,
,11018,,,,,2,,,2,
,11067,,,,2,,,,2,
,11436,1,,2,,,,,3,
,11442,1,1,1,,,,,3,
,11515,,,2,,,,,2,
,11623,,,2,,,1,,3,
,11705,,,,,,2,2,4,
,11923,,,1,3,,,,4,
,11979,,,,,,,2,2,
,12212,1,,,1,,,,2,
,12214,,1,,2,1,,,4,
,12388,,1,,1,3,,,5,
,12398,,,2,,,,,2,
,12444,,,,,1,2,,3,
,12450,,,,4,,1,,5,
,12670,,1,,,1,,2,4,
,13180,,,,,1,2,,3,
,13293,,1,2,,,,,3,
,13710,,1,,1,,,,2,
,13823,,,,,2,,,2,
,14136,1,1,2,,,1,,5,
,14174,3,,,,,,,3,
,14175,,,2,,1,,,3,
,14203,3,,1,,1,,1,6,
,14337,,,,2,,,,2,
,14645,,1,1,,,,,2,
,14915,,1,,1,,,,2,
,14964,,,1,,,1,,2,
,15053,2,,,,,,,2,
,15077,,,1,1,,,,2,
,15331,2,,,,,,,2,
,15632,,1,1,,,,,2,
,15852,,,2,,,,,2,
,16307,,,,1,1,,1,3,
,16549,1,1,,,,,,2,
,16924,,,2,,,,,2,
,17027,2,,,,,,,2,
,17391,,,,,,,2,2,
,17636,,,2,,,,,2,
,17752,1,,1,1,,,1,4,
,18556,1,1,,,,,,2,
,18591,1,,,,1,,,2,
,18840,,2,,,,2,1,5,
,18988,,,,,,2,,2,
,19016,,,,,,1,2,3,
,19267,,,,,2,,,2,
,19308,,,2,,,,,2,
,19354,,,,,,,2,2,
,19534,,,2,,2,,,4,
,19555,,,2,1,,,,3,
,19868,,,,1,1,,,2,
,19895,,1,1,,1,,,3,
,20020,,1,1,,,,,2,
,20034,,1,1,,,,1,3,
,20148,,,,,,,2,2,
,20172,,,3,,,,,3,
,20254,,,2,,,,,2,
,20356,,2,,1,,1,,4,
,20687,,2,,,,,,2,
,20691,1,1,,1,,1,5,9,
,20731,1,,1,1,1,,,4,
,20839,,1,2,4,1,1,4,13,
,20958,1,,1,1,1,,,4,
,21071,,,2,,,,,2,
,21133,,,,3,,,,3,
,21399,,,,,1,,2,3,
,21499,,,,,,2,,2,
,21755,,,2,,,,,2,
,22044,2,,,,,,1,3,
,22270,1,,,,,,1,2,
,23042,,,,3,,,,3,
,23158,,,2,,,,2,4,
,23512,,2,,,,,,2,
,23647,,1,,,,1,,2,
,23693,1,,,,,,7,8,
,24026,,18,17,1,21,,,57,
,24211,,,,1,,1,,2,
,24251,,,2,,,,,2,
,24365,,1,,1,,,,2,
,24722,,,1,2,,,,3,
,25015,,,,,3,,2,5,
,25073,,,,,2,,,2,
,25465,,11,10,3,4,,,28,
,25467,,,2,,,,1,3,
,25493,,,,1,1,,2,4,
,25635,,,,,,2,,2,
,25734,,2,,,,,,2,
,25979,2,,,,,,,2,
,25998,,,,,,2,,2,
,26145,1,,,,,,1,2,
,26161,2,,2,,,,,4,
,26212,,,,,,,2,2,
,26277,,2,,,,,,2,
,26339,,,2,,,,,2,
,26363,,,1,,1,1,,3,
,26438,,,,2,1,,,3,
,26490,,2,,,,,,2,
,32365,,,,1,,,1,2,
,34964,,,2,,,,,2,
,38559,2,1,4,,1,1,4,13,
,39385,2,,,1,,,,3,
,39643,,,1,1,,,,2,
,39913,1,,,,,1,,2,
,40199,,1,2,,,1,,4,
,40347,2,,,,,,,2,
,40381,,3,,,,,,3,
,40917,1,,,,,,2,3,
,41468,,1,2,,,,,3,
,41556,,,,2,,,,2,
,41734,,,2,,,,,2,
,41832,,1,,1,,,,2,
,42665,,2,1,,,2,1,6,
,42670,,,,1,,1,,2,
,44102,,5,1,,1,,,7,
,44246,,,,,,2,,2,
,44309,,,,1,,1,,2,
,44339,,2,,,,,1,3,
,44520,,,,,,,2,2,
,44584,2,,,,,,,2,
,44661,,,,,1,1,,2,
,44780,,,1,,1,,,2,
,44859,,,,,3,,,3,
,45039,,,,1,,,1,2,
,45278,,,4,,,,,4,
,46940,,,,,,,4,4,
,47323,,1,2,,,,,3,
,47795,,2,,,,,,2,
,49318,,,,,,,3,3,
,49610,,,,,,3,,3,
,49745,,,2,,,,2,4,
,49872,2,,,1,,,,3,
,49912,,2,,,,,1,3,
,49998,,,,4,,,,4,
,50032,,,,,,,2,2,
,50127,1,,1,,,,,2,
,51005,,1,,,,,1,2,
,51012,,,,,,2,,2,
,51107,1,1,,,1,,,3,
,51846,2,9,18,14,5,,,48,
,51876,,,3,,,,1,4,
,52564,2,,,,,,,2,
,52894,,2,,,,,,2,
,53319,,,,2,,,,2,
,53721,1,1,1,,1,,1,5,
,53733,1,,,,,1,,2,
,53846,,2,,1,,,,3,
,53901,,,,,,2,,2,
,53972,,,,,,2,,2,
,54364,,,,2,,,,2,
,54713,1,1,,2,,,1,5,
,54715,2,,,,,,1,3,
,55165,,,,1,,1,,2,
,55231,1,1,1,1,,,1,5,
,55594,1,,1,,,,,2,
,55861,,,3,,,,,3,
,55865,,,1,1,,,,2,
,56440,,5,2,,1,,,8,
,56719,,,,2,,,,2,
,56963,1,,,,2,,,3,
,57195,,,2,,,,,2,
,57440,,,,,,,3,3,
,57855,2,,,1,,,,3,
,57953,,,,2,,,,2,
,58006,1,,,,,,1,2,
,58394,,,,2,,,,2,
,58406,,,2,,,,,2,
,58609,,,2,,,,,2,
,58756,,,1,1,,,,2,
,58872,,,,1,1,,,2,
,59492,6,7,10,,,1,3,27,
,59658,,1,,1,,,1,3,
,59716,,2,,,,2,,4,
,59883,,,2,,,,,2,
,59966,,,,,2,,,2,
,60767,,3,,,,,,3,
,60819,1,,,2,,,,3,
